T,K,dl,dh
42,2,"1,45615","1,5534"
42,3,"1,4073","1,60608"
42,4,"1,35733","1,66172"
42,5,"1,3064","1,72019"
42,6,"1,25463","1,78137"
42,7,"1,20218","1,84512"
42,8,"1,14918","1,9113"
42,9,"1,09581","1,97972"
42,10,"1,04219","2,05023"
42,11,"0,98851","2,12262"
42,12,"0,93489","2,1967"
42,13,"0,88151","2,27227"
42,14,"0,82852","2,34909"
42,15,"0,77607","2,42694"
42,16,"0,72431","2,50558"
42,17,"0,67341","2,5848"
42,18,"0,6235","2,66432"
42,19,"0,57474","2,74389"
42,20,"0,52726","2,82328"
42,21,"0,48121","2,9022"
43,2,"1,46278","1,55773"
43,3,"1,41507","1,60905"
43,4,"1,36629","1,66319"
43,5,"1,31655","1,72002"
43,6,"1,266","1,77944"
43,7,"1,21476","1,84132"
43,8,"1,16298","1,90552"
43,9,"1,1108","1,97189"
43,10,"1,05837","2,04027"
43,11,"1,00581","2,11047"
43,12,"0,95328","2,18231"
43,13,"0,90093","2,25562"
43,14,"0,84891","2,33017"
43,15,"0,79734","2,40577"
43,16,"0,74639","2,4822"
43,17,"0,69619","2,55922"
43,18,"0,64688","2,63664"
43,19,"0,5986","2,71419"
43,20,"0,55149","2,79164"
43,21,"0,50568","2,86878"
44,2,"1,4692","1,56193"
44,3,"1,42257","1,61196"
44,4,"1,3749","1,66467"
44,5,"1,32631","1,71996"
44,6,"1,27692","1,77772"
44,7,"1,22685","1,83784"
44,8,"1,17624","1,90017"
44,9,"1,12522","1,9646"
44,10,"1,0739","2,03095"
44,11,"1,02245","2,09907"
44,12,"0,97099","2,16881"
44,13,"0,91964","2,23997"
44,14,"0,86856","2,31237"
44,15,"0,81787","2,38581"
44,16,"0,76771","2,46011"
44,17,"0,71822","2,53505"
44,18,"0,66953","2,61043"
44,19,"0,62177","2,68601"
44,20,"0,57507","2,76161"
44,21,"0,52954","2,83698"
45,2,"1,47538","1,56602"
45,3,"1,4298","1,61482"
45,4,"1,3832","1,66618"
45,5,"1,33571","1,71999"
45,6,"1,28744","1,77618"
45,7,"1,23849","1,83462"
45,8,"1,18899","1,8952"
45,9,"1,13907","1,95778"
45,10,"1,08886","2,02222"
45,11,"1,03846","2,08839"
45,12,"0,98802","2,15611"
45,13,"0,93765","2,22524"
45,14,"0,8875","2,29558"
45,15,"0,83769","2,36698"
45,16,"0,78833","2,43924"
45,17,"0,73955","2,51218"
45,18,"0,69149","2,58559"
45,19,"0,64427","2,65929"
45,20,"0,59801","2,73306"
45,21,"0,55282","2,80672"
46,2,"1,48136","1,56999"
46,3,"1,43677","1,61763"
46,4,"1,39121","1,66769"
46,5,"1,34477","1,72012"
46,6,"1,29756","1,77482"
46,7,"1,24969","1,83167"
46,8,"1,20127","1,89058"
46,9,"1,15242","1,95141"
46,10,"1,10325","2,01404"
46,11,"1,05388","2,07834"
46,12,"1,00443","2,14416"
46,13,"0,95503","2,21134"
46,14,"0,90578","2,27974"
46,15,"0,85681","2,34918"
46,16,"0,80825","2,4195"
46,17,"0,7602","2,49051"
46,18,"0,71278","2,56205"
46,19,"0,66611","2,63391"
46,20,"0,62032","2,70593"
46,21,"0,5755","2,7779"
47,2,"1,48715","1,57386"
47,3,"1,44352","1,62038"
47,4,"1,39894","1,66923"
47,5,"1,3535","1,72033"
47,6,"1,30731","1,77361"
47,7,"1,26047","1,82895"
47,8,"1,21309","1,88627"
47,9,"1,16526","1,94545"
47,10,"1,1171","2,00636"
47,11,"1,06873","2,06889"
47,12,"1,02026","2,1329"
47,13,"0,97178","2,19824"
47,14,"0,92342","2,26478"
47,15,"0,87529","2,33235"
47,16,"0,82751","2,4008"
47,17,"0,78018","2,46998"
47,18,"0,73341","2,5397"
47,19,"0,68732","2,6098"
47,20,"0,642","2,68011"
47,21,"0,59759","2,75044"
48,2,"1,49275","1,57762"
48,3,"1,45004","1,62308"
48,4,"1,4064","1,67076"
48,5,"1,36192","1,72061"
48,6,"1,31672","1,77253"
48,7,"1,27087","1,82645"
48,8,"1,22447","1,88226"
48,9,"1,17764","1,93987"
48,10,"1,13046","1,99915"
48,11,"1,08306","2,05999"
48,12,"1,03552","2,12227"
48,13,"0,98794","2,18586"
48,14,"0,94045","2,25062"
48,15,"0,89314","2,31641"
48,16,"0,84614","2,38309"
48,17,"0,79951","2,45049"
48,18,"0,7534","2,51847"
48,19,"0,70789","2,58687"
48,20,"0,66309","2,65552"
48,21,"0,61909","2,72427"
49,2,"1,49819","1,58129"
49,3,"1,45635","1,62573"
49,4,"1,41362","1,6723"
49,5,"1,37007","1,72095"
49,6,"1,3258","1,77159"
49,7,"1,2809","1,82415"
49,8,"1,23546","1,87852"
49,9,"1,18958","1,93463"
49,10,"1,14336","1,99236"
49,11,"1,09687","2,0516"
49,12,"1,05024","2,11224"
49,13,"1,00354","2,17415"
49,14,"0,9569","2,23723"
49,15,"0,9104","2,30131"
49,16,"0,86415","2,36628"
49,17,"0,81824","2,43199"
49,18,"0,77278","2,49829"
49,19,"0,72786","2,56505"
49,20,"0,68358","2,63211"
49,21,"0,64003","2,6993"
50,2,"1,50345","1,58486"
50,3,"1,46246","1,62833"
50,4,"1,42059","1,67385"
50,5,"1,37793","1,72135"
50,6,"1,33457","1,77077"
50,7,"1,29059","1,82203"
50,8,"1,24607","1,87504"
50,9,"1,2011","1,92972"
50,10,"1,15579","1,98597"
50,11,"1,11021","2,04368"
50,12,"1,06445","2,10276"
50,13,"1,01862","2,16307"
50,14,"0,9728","2,22452"
50,15,"0,92709","2,28698"
50,16,"0,88159","2,35032"
50,17,"0,83638","2,4144"
50,18,"0,79156","2,4791"
50,19,"0,74723","2,54428"
50,20,"0,70348","2,60978"
50,21,"0,6604","2,67548"
51,2,"1,50856","1,58835"
51,3,"1,46838","1,63088"
51,4,"1,42734","1,67538"
51,5,"1,38554","1,72179"
51,6,"1,34305","1,77005"
51,7,"1,29995","1,82007"
51,8,"1,25632","1,87178"
51,9,"1,21224","1,9251"
51,10,"1,1678","1,97994"
51,11,"1,12308","2,0362"
51,12,"1,07818","2,09378"
51,13,"1,03319","2,15258"
51,14,"0,98817","2,21249"
51,15,"0,94324","2,27338"
51,16,"0,89847","2,33515"
51,17,"0,85396","2,39767"
51,18,"0,80978","2,46083"
51,19,"0,76604","2,52448"
51,20,"0,72282","2,58848"
51,21,"0,68021","2,65272"
52,2,"1,51352","1,59174"
52,3,"1,4741","1,63339"
52,4,"1,43388","1,67692"
52,5,"1,3929","1,72228"
52,6,"1,35124","1,76942"
52,7,"1,30899","1,81827"
52,8,"1,26622","1,86874"
52,9,"1,22299","1,92076"
52,10,"1,17941","1,97426"
52,11,"1,13553","2,02913"
52,12,"1,09146","2,08528"
52,13,"1,04727","2,14263"
52,14,"1,00304","2,20106"
52,15,"0,95887","2,26046"
52,16,"0,91481","2,32074"
52,17,"0,87099","2,38176"
52,18,"0,82745","2,44341"
52,19,"0,78431","2,50559"
52,20,"0,74163","2,56816"
52,21,"0,69949","2,63099"
53,2,"1,51833","1,59505"
53,3,"1,47967","1,63585"
53,4,"1,44022","1,67845"
53,5,"1,40002","1,72282"
53,6,"1,35918","1,7689"
53,7,"1,31774","1,81661"
53,8,"1,27579","1,8659"
53,9,"1,2334","1,91668"
53,10,"1,19063","1,96889"
53,11,"1,14757","2,02244"
53,12,"1,1043","2,07723"
53,13,"1,0609","2,13318"
53,14,"1,01743","2,19019"
53,15,"0,97399","2,24817"
53,16,"0,93065","2,307"
53,17,"0,88749","2,36659"
53,18,"0,84459","2,42682"
53,19,"0,80204","2,48757"
53,20,"0,7599","2,54874"
53,21,"0,71826","2,61021"
54,2,"1,523","1,59829"
54,3,"1,48506","1,63825"
54,4,"1,44636","1,67998"
54,5,"1,40693","1,72339"
54,6,"1,36687","1,76844"
54,7,"1,32622","1,81508"
54,8,"1,28506","1,86324"
54,9,"1,24345","1,91283"
54,10,"1,20149","1,96381"
54,11,"1,15921","2,01609"
54,12,"1,11672","2,06959"
54,13,"1,07408","2,1242"
54,14,"1,03136","2,17987"
54,15,"0,98864","2,23647"
54,16,"0,946","2,29392"
54,17,"0,90349","2,35213"
54,18,"0,86122","2,41097"
54,19,"0,81925","2,47036"
54,20,"0,77766","2,53019"
54,21,"0,73651","2,59033"
55,2,"1,52755","1,60144"
55,3,"1,49031","1,64062"
55,4,"1,45232","1,68149"
55,5,"1,41362","1,72399"
55,6,"1,37431","1,76807"
55,7,"1,33442","1,81368"
55,8,"1,29403","1,86074"
55,9,"1,25319","1,90921"
55,10,"1,21199","1,95902"
55,11,"1,17049","2,01008"
55,12,"1,12875","2,06233"
55,13,"1,08685","2,11568"
55,14,"1,04485","2,17003"
55,15,"1,00284","2,22532"
55,16,"0,96087","2,28146"
55,17,"0,91902","2,33833"
55,18,"0,87736","2,39585"
55,19,"0,83597","2,45392"
55,20,"0,79492","2,51244"
55,21,"0,75427","2,57131"
56,2,"1,53197","1,60452"
56,3,"1,49541","1,64295"
56,4,"1,4581","1,683"
56,5,"1,42012","1,72461"
56,6,"1,38152","1,76776"
56,7,"1,34237","1,81238"
56,8,"1,30271","1,85841"
56,9,"1,26263","1,90579"
56,10,"1,22217","1,95448"
56,11,"1,18141","2,00438"
56,12,"1,1404","2,05542"
56,13,"1,09922","2,10755"
56,14,"1,05793","2,16067"
56,15,"1,01659","2,2147"
56,16,"0,9753","2,26956"
56,17,"0,93408","2,32515"
56,18,"0,89304","2,3814"
56,19,"0,85222","2,4382"
56,20,"0,8117","2,49546"
56,21,"0,77155","2,55309"
57,2,"1,53628","1,60754"
57,3,"1,50036","1,64524"
57,4,"1,46372","1,68449"
57,5,"1,42642","1,72526"
57,6,"1,38852","1,76751"
57,7,"1,35008","1,81119"
57,8,"1,31114","1,85622"
57,9,"1,27177","1,90257"
57,10,"1,23203","1,95018"
57,11,"1,19198","1,99896"
57,12,"1,15168","2,04887"
57,13,"1,11121","2,09982"
57,14,"1,0706","2,15175"
57,15,"1,02994","2,20456"
57,16,"0,98929","2,2582"
57,17,"0,94871","2,31257"
57,18,"0,90825","2,36758"
57,19,"0,868","2,42316"
57,20,"0,82802","2,4792"
57,21,"0,78836","2,53563"
58,2,"1,54047","1,61048"
58,3,"1,50517","1,64747"
58,4,"1,46918","1,68598"
58,5,"1,43254","1,72594"
58,6,"1,39532","1,76733"
58,7,"1,35755","1,81009"
58,8,"1,31931","1,85418"
58,9,"1,28063","1,89954"
58,10,"1,24159","1,9461"
58,11,"1,20224","1,99382"
58,12,"1,16263","2,04262"
58,13,"1,12283","2,09245"
58,14,"1,08289","2,14323"
58,15,"1,04288","2,19489"
58,16,"1,00287","2,24735"
58,17,"0,96289","2,30054"
58,18,"0,92304","2,35436"
58,19,"0,88335","2,40875"
58,20,"0,84389","2,46362"
58,21,"0,80473","2,51889"
59,2,"1,54455","1,61336"
59,3,"1,50985","1,64967"
59,4,"1,47448","1,68745"
